id,acronym,name,organization,organization_group,event_type,topics,categories,location,mode,edition,indexing,event_start,event_end,abstract_due,paper_due,notification,camera_ready,first_deadline,first_gate,deadline_timezone,confidence,source_basis,source_url,previous_cycle_edition,previous_cycle_closed
iclr-2027,ICLR,International Conference on Learning Representations,OpenReview,OpenReview,Academic conference,Machine Learning,AI & machine learning,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,2026-09-18,2026-09-25,2026-12-16,,2026-09-18,Abstract,AoE,verified,Primary venue page,https://iclr.cc/Conferences/2027/CallForPapers,,
ecir-2027,ECIR,European Conference on Information Retrieval,Springer,Springer,Academic conference,Information Retrieval,Other,"Southampton, UK",In person,2027,"Scopus, DBLP, Scholar",2027-03-21,2027-03-25,2026-09-21,2026-10-05,2026-12-07,,2026-09-21,Abstract,See source,verified,Primary venue page,https://ecir2027.co.uk/,,
saner-2027,SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",IEEE,IEEE,Academic conference,Software Engineering,Software engineering,"Richmond, VA, USA",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-03-09,2027-03-12,2026-09-21,2026-09-25,2026-12-01,2027-01-08,2026-09-21,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/home/saner-2027,,
satml-satml-2027-5th,SaTML,IEEE Conference on Secure and Trustworthy Machine Learning,IEEE,IEEE,Academic conference,ML security|privacy,AI & machine learning|Security & privacy,"Reykjavik, Iceland",In person,SaTML 2027 (5th),"IEEE Xplore, DBLP",2027-05-08,2027-05-10,2026-09-22,2026-09-29,2026-12-16,,2026-09-22,Abstract,See source,verified,Primary venue page,https://satml.org/call-for-papers/,,
btw-22nd-2027-biennial,BTW,"Conference on Database Systems for Business, Technology and Web (GI-Fachtagung Datenbanksysteme)",GI Lecture Notes in Informatics (LNI),Other,Academic conference,Databases|data engineering,Data & databases|Systems & cloud,"Munich, Germany (TUM/LMU)",In person,"22nd, 2027 (biennial)",DBLP,2027-03-15,2027-03-19,2026-09-24,2026-10-01,,,2026-09-24,Abstract,See source,verified,Primary venue page,https://btw2027.gi.de/calls/papers,,
s2ai-2026,S2AI,Workshop on Secure and Safe AI Agents for Big Data Infrastructures (at IEEE BigData),IEEE Computer Society (IEEE BigData 2026 proceedings),IEEE,Academic conference,Agentic AI systems,Data & databases|Systems & cloud|AI & machine learning,"Phoenix, AZ, USA",In person,2026,"IEEE Xplore, Scopus, DBLP, EI",2026-12-14,2026-12-17,2026-09-24,2026-10-01,2026-11-04,2026-11-25,2026-09-24,Abstract,See source,verified,Primary venue page,https://s2ai-bigdata.github.io,,
eg-eurographics-2027-48th,EG,Eurographics - Annual Conference of the European Association for Computer Graphics (full papers),Eurographics / Wiley (Computer Graphics Forum),Other,Academic conference,Computer graphics|visualization|XR,"Graphics, vision & XR","Lucca, Italy",In person,Eurographics 2027 (48th),"Scopus, DBLP, WoS (CGF journal)",2027-05-10,2027-05-14,2026-09-25,2026-10-01,2026-12-18,2027-02-23,2026-09-25,Abstract,See source,verified,Primary venue page,https://eg2027.isti.cnr.it/call-for-papers/,,
isec-2027,ISEC,Innovations in Software Engineering Conference (ACM India SIGSOFT),ACM,ACM,Academic conference,Software engineering,Software engineering,"Mumbai, India",In person,2027,"ACM DL, DBLP, Scopus",,,,2026-09-25,2026-11-04,2026-11-21,2026-09-25,Paper,See source,verified,Primary venue page,https://conf.researchr.org/home/isec-2027,,
vldb-2027,VLDB,International Conference on Very Large Data Bases (PVLDB Vol. 20),ACM/VLDB,ACM,Academic conference,Databases,Data & databases,"Athens, Greece",In person,2027,"Scopus, DBLP, Scholar",2027-08-23,2027-08-27,2026-09-25,2026-10-01,2026-11-15,,2026-09-25,Abstract,See source,verified,Primary venue page,https://www.vldb.org/2027/,,
iapp-uk-aigg-2027,IAPP UK+AIGG,IAPP UK Intensive + AI Governance Global 2027,IAPP,Other,Industry conference,Privacy|AI governance,AI & machine learning|Security & privacy,"London, UK",In person,2027,,2027-04-05,2027-04-08,,2026-09-27,,,2026-09-27,Paper,EDT,verified,Primary venue page,https://iapp.org/conferences/speak-at-an-iapp-conference,,
